id,complete,x,y,pre,post,pre_flow,post_flow
2006-002,y,591159,4986723,10/5/2009,6/22/2011,0,0
2006-019,y,600370,4977498,8/13/2009,6/28/2011,0,0
2006-022,y,596034,4979651,10/6/2009,?,0,0
2006-025,y,598582,4976612,8/16/2009,,0,0
2006-029,n,597226,4978091,10/8/2009,,0,0
2006-046,y,593414,4987744,,7/12/2011,0,0
2006-049,y,593749,4987248,,?,0,0
2006-078,n,594258,4987573,8/28/2009,,0,0
2006-160,y,582426,4984665,8/4/2009,,0,0
2007-158,y,585253,4990157,,6/15/2011,0,0
2007-160,y,577938,4989037,,7/14/2011,0,0
2007-177,y,585448,4979585,8/14/2009,7/13/2011,0,0
2007-184,y,584802,4981293,,7/13/2011,0,0
2007-193,y,582684,4982588,9/23/2009,,0,0
2007-250,y,580799,4979562,6/2/2010,,0,0
2007-255,n,579967,4980249,6/2/2010,,0,0
2007-264,y,582728,4974257,7/31/2009,,0,0
2007-296,y,597384,4975359,,6/27/2011,0,0
2007-302,n,577802,5001848,7/30/2009,,0,0
2007-304,n,573471,4982063,7/27/2009,,0,0
2007-308,y,575255,4983239,9/1/2009,,0,0
2007-311,y,576242,4984843,5/24/2010,6/20/2011,0,0
2007-315,y,573411,4986982,8/18/2009,?,0,0
2007-316,y,574107,4986886,8/17/2009,8/8/2011,0,0
2008-380,y,577702,4984903,?,,0,0
2008-381,y,574642,4986969,,6/20/2011,0,0
2008-382,y,575520,4986284,,6/20/2011,0,0
2008-383,y,577643,4985211,8/16/2009,,0,0
2008-516,n,583610,4982929,7/20/2009,,0,0
2008-536,y,604921,4965302,7/15/2009,,0,0
2008-537,n,584162,4955730,9/9/2009,,0,0
2009-001,y,580609,4990479,,6/16/2011,0,0
2010-057,y,584016,4985066,,,0,0
2011-006,y,604603,4960035,,7/18/2011,0,0
